campaign_id,platform,influencer_category,campaign_type,start_date,engagements,estimated_reach,product_sales,campaign_duration_days,end_date
CMP1001,Instagram,Macro,Product Launch,2025-04-13,12313,161707,259,26,2025-05-09
CMP1002,Instagram,Mid-tier,Product Launch,2026-03-12,10490,85289,424,54,2026-05-05
CMP1003,Instagram,Mid-tier,Sponsored Post,2025-09-28,6283,79264,170,31,2025-10-29
CMP1004,Instagram,Macro,Product Launch,2025-04-17,14139,195065,420,28,2025-05-15
CMP1005,Instagram,Mid-tier,Giveaway,2025-03-13,8760,67044,109,19,2025-04-01
CMP1006,Instagram,Mid-tier,Sponsored Post,2025-01-21,8602,94872,157,25,2025-02-15
CMP1007,YouTube,Mega,Brand Awareness,2025-05-02,20938,602087,465,55,2025-06-26
CMP1008,Instagram,Micro,Product Launch,2026-04-12,3410,31990,97,42,2026-05-24
CMP1009,YouTube,Micro,Product Launch,2025-08-03,1694,25828,32,18,2025-08-21
CMP1010,YouTube,Mid-tier,Sponsored Post,2025-11-27,7221,116978,143,47,2026-01-13
CMP1011,Instagram,Mega,Sponsored Post,2026-04-04,30199,627416,643,25,2026-04-29
CMP1012,YouTube,Micro,Sponsored Post,2025-03-29,1686,30375,27,18,2025-04-16
CMP1013,Instagram,Micro,Product Launch,2026-01-08,2608,22506,75,15,2026-01-23
CMP1014,Instagram,Micro,Sponsored Post,2025-04-10,2387,26132,55,13,2025-04-23
CMP1015,Instagram,Micro,Sponsored Post,2025-05-11,2596,29905,45,34,2025-06-14
CMP1016,YouTube,Micro,Giveaway,2025-11-05,1996,24332,28,20,2025-11-25
CMP1017,YouTube,Mid-tier,Sponsored Post,2025-12-10,6039,103953,131,37,2026-01-16
CMP1018,Instagram,Mid-tier,Sponsored Post,2026-05-07,5479,67647,118,58,2026-07-04
CMP1019,Instagram,Micro,Giveaway,2026-02-18,2646,21378,29,25,2026-03-15
CMP1020,Instagram,Mid-tier,Brand Awareness,2026-01-21,6569,94501,114,53,2026-03-15
CMP1021,YouTube,Micro,Brand Awareness,2025-07-11,1279,25700,23,22,2025-08-02
CMP1022,Instagram,Micro,Product Launch,2025-10-04,3844,32089,136,59,2025-12-02
CMP1023,Instagram,Mid-tier,Giveaway,2025-06-10,6992,62127,110,11,2025-06-21
CMP1024,Instagram,Macro,Brand Awareness,2026-04-05,13512,243008,228,41,2026-05-16
CMP1025,Instagram,Micro,Sponsored Post,2025-11-10,1978,20402,21,18,2025-11-28
CMP1026,YouTube,Mid-tier,Sponsored Post,2025-01-22,4509,80136,107,31,2025-02-22
CMP1027,Instagram,Micro,Sponsored Post,2025-09-10,3280,37748,73,58,2025-11-07
CMP1028,YouTube,Macro,Product Launch,2026-04-20,8577,228561,273,27,2026-05-17
CMP1029,Instagram,Macro,Brand Awareness,2025-02-28,19901,249424,443,42,2025-04-11
CMP1030,YouTube,Mid-tier,Product Launch,2026-05-26,6570,144390,257,59,2026-07-24
CMP1031,Instagram,Micro,Giveaway,2026-04-21,3004,24896,35,29,2026-05-20
CMP1032,Instagram,Mega,Sponsored Post,2025-07-09,21845,392695,548,22,2025-07-31
CMP1033,YouTube,Micro,Sponsored Post,2025-09-01,1826,33660,45,45,2025-10-16
CMP1034,YouTube,Micro,Brand Awareness,2026-05-20,2161,42175,28,51,2026-07-10
CMP1035,YouTube,Mid-tier,Sponsored Post,2025-05-11,6455,121300,114,59,2025-07-09
CMP1036,Instagram,Micro,Sponsored Post,2026-04-30,1479,22898,32,48,2026-06-17
CMP1037,YouTube,Mega,Brand Awareness,2025-01-21,18902,759156,386,45,2025-03-07
CMP1038,Instagram,Macro,Sponsored Post,2025-06-16,14182,208901,323,20,2025-07-06
CMP1039,YouTube,Micro,Brand Awareness,2025-10-01,1502,30643,21,37,2025-11-07
CMP1040,Instagram,Mid-tier,Brand Awareness,2026-01-23,5274,68339,75,11,2026-02-03
CMP1041,YouTube,Mega,Giveaway,2025-11-12,31422,697721,497,41,2025-12-23
CMP1042,YouTube,Macro,Brand Awareness,2025-01-14,6611,244766,162,29,2025-02-12
CMP1043,YouTube,Mid-tier,Giveaway,2025-08-30,6030,77420,88,35,2025-10-04
CMP1044,Instagram,Mega,Giveaway,2025-12-12,45698,670279,612,49,2026-01-30
CMP1045,Instagram,Mega,Brand Awareness,2025-12-06,21432,486092,486,17,2025-12-23
CMP1046,YouTube,Macro,Brand Awareness,2025-04-02,10105,264061,179,24,2025-04-26
CMP1047,Instagram,Micro,Brand Awareness,2026-01-02,3212,36725,49,53,2026-02-24
CMP1048,YouTube,Mid-tier,Giveaway,2026-03-31,7432,96243,97,18,2026-04-18
CMP1049,YouTube,Macro,Brand Awareness,2026-03-04,9473,245554,143,15,2026-03-19
CMP1050,Instagram,Micro,Brand Awareness,2026-05-24,1375,13858,21,16,2026-06-09
CMP1051,YouTube,Macro,Product Launch,2025-02-04,14236,357451,300,50,2025-03-26
CMP1052,Instagram,Micro,Giveaway,2025-07-25,3000,23273,36,23,2025-08-17
CMP1053,YouTube,Micro,Product Launch,2025-03-22,1945,36099,54,44,2025-05-05
CMP1054,YouTube,Mid-tier,Giveaway,2026-01-23,5653,83536,87,13,2026-02-05
CMP1055,Instagram,Micro,Sponsored Post,2025-01-02,3034,32851,65,52,2025-02-23
CMP1056,Instagram,Mega,Brand Awareness,2026-01-25,25376,521455,395,19,2026-02-13
CMP1057,YouTube,Macro,Brand Awareness,2025-04-16,11712,320530,258,46,2025-06-01
CMP1058,Instagram,Macro,Sponsored Post,2026-04-22,18814,254377,400,48,2026-06-09
CMP1059,YouTube,Mid-tier,Sponsored Post,2026-02-06,3294,84130,48,15,2026-02-21
CMP1060,Instagram,Micro,Sponsored Post,2025-06-11,1155,13957,27,56,2025-08-06
CMP1061,Instagram,Mid-tier,Sponsored Post,2025-07-21,6011,73247,130,33,2025-08-23
CMP1062,Instagram,Mid-tier,Product Launch,2025-09-27,4006,51199,182,8,2025-10-05
CMP1063,Instagram,Mid-tier,Product Launch,2025-09-28,6908,74321,238,11,2025-10-09
CMP1064,Instagram,Micro,Brand Awareness,2026-04-01,2407,28092,40,35,2026-05-06
CMP1065,YouTube,Mid-tier,Product Launch,2026-04-07,4378,96585,100,43,2026-05-20
CMP1066,Instagram,Mid-tier,Brand Awareness,2025-09-09,4878,79230,93,44,2025-10-23
CMP1067,Instagram,Mega,Brand Awareness,2025-10-23,14354,438499,392,25,2025-11-17
CMP1068,Instagram,Macro,Brand Awareness,2025-12-04,8550,163656,170,14,2025-12-18
CMP1069,Instagram,Mid-tier,Giveaway,2025-02-22,7776,69690,87,54,2025-04-17
CMP1070,Instagram,Mid-tier,Giveaway,2025-08-05,7397,65094,107,51,2025-09-25
CMP1071,YouTube,Macro,Brand Awareness,2025-07-07,7808,204195,132,7,2025-07-14
CMP1072,YouTube,Micro,Sponsored Post,2026-01-15,1781,35232,38,28,2026-02-12
CMP1073,Instagram,Macro,Brand Awareness,2026-05-08,14405,232514,243,58,2026-07-05
CMP1074,YouTube,Macro,Sponsored Post,2025-02-10,10685,250866,208,23,2025-03-05
CMP1075,YouTube,Mid-tier,Product Launch,2025-06-06,4112,88812,103,13,2025-06-19
CMP1076,Instagram,Mid-tier,Sponsored Post,2025-01-15,5320,63466,143,31,2025-02-15
CMP1077,YouTube,Micro,Giveaway,2025-03-06,2980,36154,31,51,2025-04-26
CMP1078,YouTube,Mid-tier,Brand Awareness,2026-06-05,2933,68788,44,10,2026-06-15
CMP1079,Instagram,Micro,Product Launch,2025-12-10,4066,34029,105,42,2026-01-21
CMP1080,Instagram,Macro,Brand Awareness,2025-05-09,12511,214499,247,12,2025-05-21
CMP1081,YouTube,Micro,Product Launch,2026-04-17,1529,27331,42,37,2026-05-24
CMP1082,YouTube,Micro,Product Launch,2025-03-04,2098,31056,49,25,2025-03-29
CMP1083,Instagram,Mega,Giveaway,2025-05-19,62158,674390,744,50,2025-07-08
CMP1084,YouTube,Macro,Brand Awareness,2026-05-14,13799,366274,316,60,2026-07-13
CMP1085,YouTube,Micro,Giveaway,2026-01-27,2886,35102,22,45,2026-03-13
CMP1086,YouTube,Micro,Sponsored Post,2026-02-23,1995,37976,43,33,2026-03-28
CMP1087,YouTube,Micro,Brand Awareness,2025-10-16,995,22939,20,16,2025-11-01
CMP1088,YouTube,Macro,Giveaway,2026-01-14,13792,246916,69,32,2026-02-15
CMP1089,Instagram,Micro,Product Launch,2026-05-05,2201,20114,79,25,2026-05-30
CMP1090,Instagram,Mid-tier,Giveaway,2025-08-19,10121,95304,130,45,2025-10-03
CMP1091,YouTube,Mega,Brand Awareness,2025-02-10,14582,452120,278,9,2025-02-19
CMP1092,YouTube,Micro,Sponsored Post,2025-01-28,1816,35276,34,51,2025-03-20
CMP1093,Instagram,Macro,Sponsored Post,2025-05-15,12060,202404,348,19,2025-06-03
CMP1094,YouTube,Mega,Brand Awareness,2025-07-20,28371,836458,540,56,2025-09-14
CMP1095,YouTube,Micro,Product Launch,2025-02-02,1942,27082,50,34,2025-03-08
CMP1096,Instagram,Macro,Sponsored Post,2025-02-17,14249,230072,287,26,2025-03-15
CMP1097,YouTube,Mid-tier,Sponsored Post,2026-05-18,6290,103858,161,34,2026-06-21
CMP1098,YouTube,Mega,Product Launch,2026-02-11,15183,434633,440,14,2026-02-25
CMP1099,YouTube,Mid-tier,Brand Awareness,2025-04-09,3899,84683,88,47,2025-05-26
CMP1100,Instagram,Mid-tier,Sponsored Post,2026-04-07,6893,84486,214,45,2026-05-22
CMP1101,Instagram,Mid-tier,Product Launch,2025-01-05,6684,67729,143,7,2025-01-12
CMP1102,Instagram,Macro,Sponsored Post,2025-08-06,13242,189487,275,9,2025-08-15
CMP1103,Instagram,Macro,Brand Awareness,2026-05-18,12496,194697,182,19,2026-06-06
CMP1104,Instagram,Mid-tier,Product Launch,2026-02-02,6255,78043,199,34,2026-03-08
CMP1105,Instagram,Macro,Sponsored Post,2026-01-28,14192,269388,363,55,2026-03-24
